employee_id,name,location,role,employment_type,hourly_rate,hire_date,term_date,dataset
1095,Casey Li,YYC-SE,Seasonal Associate,SEASONAL,16.55,22-11-2020,22-12-2020,bookstore_employees
1096,Parker Gordon,YYC-SE,Seasonal Associate,SEASONAL,16.29,11-11-2020,26-12-2020,bookstore_employees
1097,Avery Gagnon,YYC-DT,Seasonal Associate,SEASONAL,16.5,07-07-2021,30-08-2021,bookstore_employees
1098,Finley Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.8,10-07-2021,23-08-2021,bookstore_employees
1099,Robin Turner,YYC-DT,Seasonal Associate,SEASONAL,17.59,15-11-2021,25-12-2021,bookstore_employees
1100,Jamie Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.34,12-11-2021,28-12-2021,bookstore_employees
1101,Jordan Pereira,YYC-DT,Seasonal Associate,SEASONAL,16.49,11-11-2021,25-12-2021,bookstore_employees
1102,Rowan Roy,YYC-DT,Seasonal Associate,SEASONAL,16.64,15-11-2021,25-12-2021,bookstore_employees
1103,Sam Roy,YYC-DT,Seasonal Associate,SEASONAL,17.74,21-11-2021,31-12-2021,bookstore_employees
1104,Spencer Smith,YYC-NW,Seasonal Associate,SEASONAL,17.91,02-07-2021,31-08-2021,bookstore_employees
1105,Taylor Foster,YYC-NW,Seasonal Associate,SEASONAL,16.72,02-07-2021,24-08-2021,bookstore_employees
1106,Jamie Smith,YYC-NW,Seasonal Associate,SEASONAL,16.04,11-11-2021,28-12-2021,bookstore_employees
1107,Elliot Gordon,YYC-NW,Seasonal Associate,SEASONAL,17.63,14-11-2021,31-12-2021,bookstore_employees
1108,Morgan Li,YYC-SE,Seasonal Associate,SEASONAL,18,04-07-2021,25-08-2021,bookstore_employees
1109,Jessie MacLeod,YYC-SE,Seasonal Associate,SEASONAL,17.64,13-07-2021,30-08-2021,bookstore_employees
1110,Elliot Wilson,YYC-SE,Seasonal Associate,SEASONAL,17.12,08-07-2021,31-08-2021,bookstore_employees
1111,Quinn Hughes,YYC-SE,Seasonal Associate,SEASONAL,16.77,20-11-2021,26-12-2021,bookstore_employees
1112,Robin Patel,YYC-SE,Seasonal Associate,SEASONAL,16.81,23-11-2021,23-12-2021,bookstore_employees
1113,Casey Gagnon,YYC-DT,Seasonal Associate,SEASONAL,16.11,11-07-2022,25-08-2022,bookstore_employees
1114,Sage Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.3,05-07-2022,31-08-2022,bookstore_employees
1115,Casey Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.04,12-07-2022,28-08-2022,bookstore_employees
1116,Rowan Chen,YYC-DT,Seasonal Associate,SEASONAL,17.9,11-07-2022,23-08-2022,bookstore_employees
1117,Jessie Adams,YYC-DT,Seasonal Associate,SEASONAL,16.61,12-11-2022,30-12-2022,bookstore_employees
1118,Parker Thompson,YYC-DT,Seasonal Associate,SEASONAL,17.17,10-11-2022,23-12-2022,bookstore_employees
1119,Finley Thompson,YYC-DT,Seasonal Associate,SEASONAL,17.51,21-11-2022,30-12-2022,bookstore_employees
1120,Jordan Roy,YYC-DT,Seasonal Associate,SEASONAL,16.62,23-11-2022,30-12-2022,bookstore_employees
1121,Riley Smith,YYC-DT,Seasonal Associate,SEASONAL,16.04,16-11-2022,27-12-2022,bookstore_employees
1122,Hayden Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.22,05-07-2022,22-08-2022,bookstore_employees
1123,Spencer Gagnon,YYC-NW,Seasonal Associate,SEASONAL,17.46,15-07-2022,27-08-2022,bookstore_employees
1124,Riley White,YYC-NW,Seasonal Associate,SEASONAL,17.09,06-07-2022,30-08-2022,bookstore_employees
1125,Riley Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.39,13-11-2022,25-12-2022,bookstore_employees
1126,Taylor Campbell,YYC-NW,Seasonal Associate,SEASONAL,17.11,10-11-2022,31-12-2022,bookstore_employees
1127,Harper Singh,YYC-SE,Seasonal Associate,SEASONAL,17.41,11-07-2022,26-08-2022,bookstore_employees
1128,Riley Smith,YYC-SE,Seasonal Associate,SEASONAL,17.02,05-07-2022,22-08-2022,bookstore_employees
1129,Sam Turner,YYC-SE,Seasonal Associate,SEASONAL,17.09,04-07-2022,29-08-2022,bookstore_employees
1130,Taylor Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.81,10-11-2022,24-12-2022,bookstore_employees
1131,Riley Anderson,YYC-SE,Seasonal Associate,SEASONAL,16.61,17-11-2022,24-12-2022,bookstore_employees
1132,Jessie MacLeod,YYC-SE,Seasonal Associate,SEASONAL,16.88,17-11-2022,25-12-2022,bookstore_employees
1133,Casey Gagnon,YYC-SE,Seasonal Associate,SEASONAL,16.31,24-11-2022,28-12-2022,bookstore_employees
1134,Morgan Foster,YYC-DT,Seasonal Associate,SEASONAL,17.88,07-07-2023,28-08-2023,bookstore_employees
1135,Spencer White,YYC-DT,Seasonal Associate,SEASONAL,17.71,02-07-2023,30-08-2023,bookstore_employees
1136,Jamie Roy,YYC-DT,Seasonal Associate,SEASONAL,17.35,07-07-2023,29-08-2023,bookstore_employees
1137,Jamie Patel,YYC-DT,Seasonal Associate,SEASONAL,17.02,13-07-2023,28-08-2023,bookstore_employees
1138,Casey Brown,YYC-DT,Seasonal Associate,SEASONAL,16.77,10-11-2023,26-12-2023,bookstore_employees
1139,Jordan Baker,YYC-DT,Seasonal Associate,SEASONAL,17.38,24-11-2023,24-12-2023,bookstore_employees
1140,Reese Pereira,YYC-DT,Seasonal Associate,SEASONAL,16.65,22-11-2023,29-12-2023,bookstore_employees
1141,Reese Patel,YYC-DT,Seasonal Associate,SEASONAL,17.63,16-11-2023,24-12-2023,bookstore_employees
1142,Brooklyn Foster,YYC-NW,Seasonal Associate,SEASONAL,17.89,06-07-2023,27-08-2023,bookstore_employees
1143,Sam Baker,YYC-NW,Seasonal Associate,SEASONAL,16.52,09-07-2023,22-08-2023,bookstore_employees
1144,Harper Adams,YYC-NW,Seasonal Associate,SEASONAL,16.99,04-07-2023,27-08-2023,bookstore_employees
1145,Jordan Singh,YYC-NW,Seasonal Associate,SEASONAL,17.64,23-11-2023,24-12-2023,bookstore_employees
1146,Dylan Foster,YYC-NW,Seasonal Associate,SEASONAL,16.5,20-11-2023,27-12-2023,bookstore_employees
1147,Hayden Brown,YYC-NW,Seasonal Associate,SEASONAL,17.7,20-11-2023,27-12-2023,bookstore_employees
1148,Riley Martin,YYC-SE,Seasonal Associate,SEASONAL,16.89,13-07-2023,30-08-2023,bookstore_employees
1149,Casey Gagnon,YYC-SE,Seasonal Associate,SEASONAL,16.57,15-07-2023,22-08-2023,bookstore_employees
1150,Brooklyn Li,YYC-SE,Seasonal Associate,SEASONAL,16.04,13-11-2023,22-12-2023,bookstore_employees
1151,Reese Wilson,YYC-SE,Seasonal Associate,SEASONAL,16.75,19-11-2023,23-12-2023,bookstore_employees
1152,Quinn Thompson,YYC-SE,Seasonal Associate,SEASONAL,17.06,18-11-2023,25-12-2023,bookstore_employees
1153,Riley Smith,YYC-SE,Seasonal Associate,SEASONAL,16.55,21-11-2023,29-12-2023,bookstore_employees
1154,Brooklyn Gagnon,YYC-SE,Seasonal Associate,SEASONAL,18,24-11-2023,29-12-2023,bookstore_employees
1155,Jordan Singh,YYC-DT,Seasonal Associate,SEASONAL,17.45,08-07-2024,27-08-2024,bookstore_employees
1156,Harper Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.61,13-07-2024,29-08-2024,bookstore_employees
1157,Alex Smith,YYC-DT,Seasonal Associate,SEASONAL,16.09,19-11-2024,29-12-2024,bookstore_employees
1158,Riley Wilson,YYC-DT,Seasonal Associate,SEASONAL,17.84,23-11-2024,27-12-2024,bookstore_employees
1159,Reese MacLeod,YYC-DT,Seasonal Associate,SEASONAL,17.36,23-11-2024,22-12-2024,bookstore_employees
1160,Jamie Martin,YYC-NW,Seasonal Associate,SEASONAL,16.32,03-07-2024,30-08-2024,bookstore_employees
1161,Dylan Singh,YYC-NW,Seasonal Associate,SEASONAL,17.74,14-07-2024,24-08-2024,bookstore_employees
1162,Avery Chen,YYC-NW,Seasonal Associate,SEASONAL,17.58,14-07-2024,25-08-2024,bookstore_employees
1163,Alex Chen,YYC-NW,Seasonal Associate,SEASONAL,16.55,15-07-2024,28-08-2024,bookstore_employees
1164,Quinn Thompson,YYC-NW,Seasonal Associate,SEASONAL,16.42,14-11-2024,31-12-2024,bookstore_employees
1165,Rowan Patel,YYC-NW,Seasonal Associate,SEASONAL,17.06,22-11-2024,29-12-2024,bookstore_employees
1166,Skyler Foster,YYC-NW,Seasonal Associate,SEASONAL,16.36,14-11-2024,27-12-2024,bookstore_employees
1167,Elliot Baker,YYC-NW,Seasonal Associate,SEASONAL,17.31,21-11-2024,24-12-2024,bookstore_employees
1168,Skyler MacLeod,YYC-NW,Seasonal Associate,SEASONAL,16.92,16-11-2024,27-12-2024,bookstore_employees
1169,Morgan Martin,YYC-SE,Seasonal Associate,SEASONAL,16.52,08-07-2024,28-08-2024,bookstore_employees
1170,Rowan Martin,YYC-SE,Seasonal Associate,SEASONAL,16.02,03-07-2024,25-08-2024,bookstore_employees
1171,Sam White,YYC-SE,Seasonal Associate,SEASONAL,17.22,12-07-2024,27-08-2024,bookstore_employees
1172,Sage Gagnon,YYC-SE,Seasonal Associate,SEASONAL,17.79,01-07-2024,29-08-2024,bookstore_employees
1173,Sam Foster,YYC-SE,Seasonal Associate,SEASONAL,17.44,20-11-2024,31-12-2024,bookstore_employees
1174,Hayden Singh,YYC-SE,Seasonal Associate,SEASONAL,16.19,12-11-2024,23-12-2024,bookstore_employees
1175,Sam White,YYC-SE,Seasonal Associate,SEASONAL,16.36,23-11-2024,22-12-2024,bookstore_employees
